LECROYHDO6054,4546,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,15-Nov-2019 16:21:52,0                 
Time,Ampl
-10.000649,0.0144
-9.9996491,0.0150861
-9.9986491,0.0170278
-9.9976491,0.01975
-9.9966491,0.0222639
-9.9956491,0.0240222
-9.9946491,0.0247417
-9.9936491,0.0245833
-9.9926491,0.0236861
-9.9916491,0.0224444
-9.9906491,0.0213861
-9.9896491,0.020575
-9.9886491,0.0199778
-9.9876491,0.0197667
-9.9866491,0.0198528
-9.9856491,0.0198972
-9.9846491,0.0197472
-9.9836491,0.0196722
-9.9826491,0.0191056
-9.9816491,0.0181861
-9.9806491,0.0167833
-9.9796491,0.0156833
-9.9786491,0.0152167
-9.9776491,0.0159222
-9.9766491,0.0177361
-9.9756491,0.0205139
-9.9746491,0.0234694
-9.9736491,0.0255222
-9.9726491,0.0263611
-9.9716491,0.0260306
-9.9706491,0.0252083
-9.9696491,0.02405
-9.9686491,0.0226778
-9.9676491,0.0199389
-9.9666491,0.01585
-9.9656491,0.0103639
-9.9646491,0.00531667
-9.9636491,0.00107778
-9.9626491,0.000444444
-9.9616491,0.00299444
-9.9606491,0.00838333
-9.9596491,0.0131139
-9.9586491,0.0171167
-9.9576491,0.0188417
-9.9566491,0.0189333
-9.9556491,0.0178444
-9.9546491,0.017825
-9.9536491,0.019
-9.9526491,0.0212278
-9.9516491,0.0236472
-9.9506491,0.0259861
-9.9496491,0.0272667
-9.9486491,0.0273861
-9.9476491,0.0264306
-9.9466491,0.0253139
-9.9456491,0.02405
-9.9446491,0.022975
-9.9436491,0.0221944
-9.9426491,0.0217278
-9.9416491,0.0216611
-9.9406491,0.0218306
-9.9396491,0.0223611
-9.9386491,0.0230194
-9.9376491,0.0240722
-9.9366491,0.0249389
-9.9356491,0.0250889
-9.9346491,0.0245139
-9.9336491,0.0234639
-9.9326491,0.0221167
-9.9316491,0.0203861
-9.9306491,0.01915
-9.9296491,0.018425
-9.9286491,0.0180889
-9.9276491,0.0178861
-9.9266491,0.0180417
-9.9256491,0.0182083
-9.9246491,0.0181472
-9.9236491,0.0180444
-9.9226491,0.0175611
-9.9216491,0.0167722
-9.9206491,0.0159111
-9.9196491,0.0155194
-9.9186491,0.0156083
-9.9176491,0.0162361
-9.9166491,0.017325
-9.9156491,0.0184583
-9.9146491,0.0192833
-9.9136491,0.0197833
-9.9126491,0.0202889
-9.9116491,0.0209583
-9.9106491,0.0218389
-9.9096491,0.0228611
-9.9086491,0.0233278
-9.9076491,0.0229833
-9.9066491,0.0214806
-9.9056491,0.0193972
-9.9046491,0.0173639
-9.9036491,0.0161194
-9.9026491,0.0159056
-9.9016491,0.0166917
-9.9006491,0.0180167
-9.8996491,0.0188639
-9.8986491,0.0191139
-9.8976491,0.018575
-9.8966491,0.0178556
-9.8956491,0.0170806
-9.8946491,0.0167639
-9.8936491,0.0168472
-9.8926491,0.0172917
-9.8916491,0.0181722
-9.8906491,0.019675
-9.8896491,0.0218083
-9.8886491,0.02405
-9.8876491,0.0263083
-9.8866491,0.0275861
-9.8856491,0.0273833
-9.8846491,0.0257972
-9.8836491,0.0248
-9.8826491,0.0256306
-9.8816491,0.0290472
-9.8806491,0.0346694
-9.8796491,0.0424694
-9.8786491,0.0505333
-9.8776491,0.05725
-9.8766491,0.0615833
-9.8756491,0.0643167
-9.8746491,0.0655528
-9.8736491,0.0655667
-9.8726491,0.0647444
-9.8716491,0.0637194
-9.8706491,0.0631
-9.8696491,0.0627417
-9.8686491,0.0628833
-9.8676491,0.0633111
-9.8666491,0.0642722
-9.8656491,0.0644139
-9.8646491,0.0626472
-9.8636491,0.058275
-9.8626491,0.0509806
-9.8616491,0.0413944
-9.8606491,0.0305694
-9.8596491,0.0207806
-9.8586491,0.0132111
-9.8576491,0.00990555
-9.8566491,0.0102333
-9.8556491,0.0135611
-9.8546491,0.017475
-9.8536491,0.0216
-9.8526491,0.0242556
-9.8516491,0.025425
-9.8506491,0.0251889
-9.8496491,0.0251889
-9.8486491,0.0248611
-9.8476491,0.024525
-9.8466491,0.0237944
-9.8456491,0.0230194
-9.8446491,0.0218917
-9.8436491,0.020825
-9.8426491,0.0199
-9.8416491,0.0195028
-9.8406491,0.0196
-9.8396491,0.0197861
-9.8386491,0.0199056
-9.8376491,0.0197861
-9.8366491,0.0196444
-9.8356491,0.0193667
-9.8346491,0.0190917
-9.8336491,0.0189556
-9.8326491,0.0189861
-9.8316491,0.0189083
-9.8306491,0.018925
-9.8296491,0.0192861
-9.8286491,0.020075
-9.8276491,0.0209083
-9.8266491,0.0217583
-9.8256491,0.0219083
-9.8246491,0.0212694
-9.8236491,0.019775
-9.8226491,0.0184139
-9.8216491,0.0175583
-9.8206491,0.0176861
-9.8196491,0.0187333
-9.8186491,0.0203861
-9.8176491,0.0220222
-9.8166491,0.023
-9.8156491,0.0232389
-9.8146491,0.0226611
-9.8136491,0.0217861
-9.8126491,0.0208833
-9.8116491,0.0201667
-9.8106491,0.0195778
-9.8096491,0.0191583
-9.8086491,0.0186694
-9.8076491,0.0181222
-9.8066491,0.0175944
-9.8056491,0.0172417
-9.8046491,0.0172028
-9.8036491,0.0175833
-9.8026491,0.0180639
-9.8016491,0.0185028
-9.8006491,0.0186778
-9.7996491,0.0185194
-9.7986491,0.0181444
-9.7976491,0.0177444
-9.7966491,0.0186417
-9.7956491,0.0217889
-9.7946491,0.0278194
-9.7936491,0.0358417
-9.7926491,0.0450139
-9.7916491,0.0534917
-9.7906491,0.0601028
-9.7896491,0.0638472
-9.7886491,0.0650417
