LECROYHDO6054,4546,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,21-Nov-2019 16:36:16,0                 
Time,Ampl
-10.000358,0.00578889
-9.9993581,0.00653333
-9.9983581,0.00706111
-9.9973581,0.00705278
-9.9963581,0.00660833
-9.9953581,0.006025
-9.9943581,0.00578611
-9.9933581,0.00601667
-9.9923581,0.007075
-9.9913581,0.00876944
-9.9903581,0.0107139
-9.9893581,0.0119944
-9.9883581,0.0123806
-9.9873581,0.0117167
-9.9863581,0.0101694
-9.9853581,0.00815833
-9.9843581,0.00644167
-9.9833581,0.00549444
-9.9823581,0.00528889
-9.9813581,0.00578611
-9.9803581,0.00650833
-9.9793581,0.00702778
-9.9783581,0.00706111
-9.9773581,0.00673056
-9.9763581,0.00620556
-9.9753581,0.00568056
-9.9743581,0.00551389
-9.9733581,0.00570278
-9.9723581,0.00626944
-9.9713581,0.00685833
-9.9703581,0.00756111
-9.9693581,0.00801944
-9.9683581,0.00830833
-9.9673581,0.008175
-9.9663581,0.00774167
-9.9653581,0.00695
-9.9643581,0.006325
-9.9633581,0.00604167
-9.9623581,0.00634167
-9.9613581,0.00715
-9.9603581,0.00843611
-9.9593581,0.00965833
-9.9583581,0.0104222
-9.9573581,0.0106389
-9.9563581,0.0105194
-9.9553581,0.00987778
-9.9543581,0.00874444
-9.9533581,0.00759444
-9.9523581,0.00643889
-9.9513581,0.00541667
-9.9503581,0.00468889
-9.9493581,0.00468611
-9.9483581,0.00474722
-9.9473581,0.00481667
-9.9463581,0.00456944
-9.9453581,0.00428889
-9.9443581,0.00371667
-9.9433581,0.00336389
-9.9423581,0.00344167
-9.9413581,0.00406389
-9.9403581,0.00490833
-9.9393581,0.00580833
-9.9383581,0.00645833
-9.9373581,0.00670833
-9.9363581,0.00664444
-9.9353581,0.006425
-9.9343581,0.00629167
-9.9333581,0.00646111
-9.9323581,0.00675833
-9.9313581,0.00693056
-9.9303581,0.00682222
